YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,station_id,latitude,longitude
2012,10,21,3,20,308,3.7,5.7,1.13,5.56,5.57,999,1013.6,26.1,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,3,50,312,4.2,5.6,1.07,5.88,5.43,999,1013.8,25.9,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,4,20,307,3.3,4.9,1.07,10.0,5.46,999,1013.7,25.7,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,4,50,300,4.1,5.6,1.13,10.81,5.81,999,1013.6,25.7,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,5,20,305,4.3,5.5,1.02,9.09,5.56,999,1013.5,25.6,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,5,50,307,4.1,5.4,1.07,10.0,5.73,999,1013.5,25.5,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,6,20,307,4.8,6.1,1.04,10.0,5.63,999,1013.4,25.4,27.9,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,6,50,300,5.5,7.3,0.99,10.81,5.44,999,1013.4,25.3,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,7,20,307,6.0,7.1,1.01,10.0,5.43,999,1013.3,25.2,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,7,50,322,6.3,8.3,0.97,10.81,5.19,999,1013.3,25.1,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,8,20,314,5.2,7.2,0.99,10.0,4.89,999,1013.5,25.0,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,8,50,320,5.0,6.7,0.9,9.09,4.67,999,1013.8,25.0,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,9,20,324,5.7,7.8,1.05,10.0,5.19,999,1013.9,24.9,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,9,50,328,5.0,6.9,0.97,10.0,4.83,999,1014.3,24.8,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,10,20,341,5.4,6.7,1.01,10.81,4.98,999,1014.5,24.8,27.8,999.0,99.0,99.0,41010,28.878,-78.467
2012,10,21,10,50,335,6.0,7.5,1.03,10.81,4.91,999,1014.8,24.9,27.8,999.0,99.0,99.0,41010,28.878,-78.467
